date,Sarah baseline,Phase 6 locked candidate
2019-05-06,-104.0,-104.0
2019-05-07,-249.5,-154.5
2019-05-08,-244.0,-174.0
2019-05-09,-186.5,-20.5
2019-05-10,-75.5,-50.5
2019-05-11,-75.5,-50.5
2019-05-12,-75.5,-50.5
2019-05-13,0.0,0.0
2019-05-14,-130.0,-88.0
2019-05-15,0.0,-177.5
2019-05-16,-28.5,-216.5
2019-05-17,-191.5,-273.0
2019-05-18,-191.5,-273.0
2019-05-19,-191.5,-273.0
2019-05-20,0.0,-327.5
2019-05-21,-11.0,-364.5
2019-05-22,-40.5,-405.0
2019-05-23,-145.0,-436.5
2019-05-24,-209.0,-500.5
2019-05-25,-209.0,-500.5
2019-05-26,-209.0,-500.5
2019-05-27,-196.5,-500.5
2019-05-28,-86.0,-551.0
2019-05-29,-89.5,-518.5
2019-05-30,-225.0,-548.5
2019-05-31,-315.5,-639.0
2019-06-01,-315.5,-639.0
2019-06-02,-333.5,-657.0
2019-06-03,-196.5,-484.5
2019-06-04,-349.5,-498.5
2019-06-05,-387.0,-347.5
2019-06-06,-252.5,-394.5
2019-06-07,-181.5,-152.0
2019-06-08,-181.5,-152.0
2019-06-09,-181.5,-152.0
2019-06-10,-142.0,-152.0
2019-06-11,-8.5,-192.0
2019-06-12,-19.5,-203.0
2019-06-13,-47.0,-225.5
2019-06-14,-38.0,-197.0
2019-06-15,-38.0,-197.0
2019-06-16,-38.0,-197.0
2019-06-17,-43.0,-191.0
2019-06-18,-53.0,-205.5
2019-06-19,-36.5,-292.0
2019-06-20,-173.0,-318.5
2019-06-21,-204.5,-350.0
2019-06-22,-204.5,-350.0
2019-06-23,-204.5,-350.0
2019-06-24,-202.5,-321.5
2019-06-25,0.0,-389.0
2019-06-26,0.0,-326.0
2019-06-27,-28.0,-376.0
2019-06-28,0.0,-376.0
2019-06-29,0.0,-376.0
2019-06-30,0.0,-376.0
2019-07-01,0.0,-311.0
2019-07-02,0.0,-236.0
2019-07-03,-30.5,-266.5
2019-07-04,-68.5,-266.0
2019-07-05,-169.5,-304.5
2019-07-06,-169.5,-304.5
2019-07-07,-169.5,-304.5
2019-07-08,-180.5,-319.0
2019-07-09,-262.0,-362.0
2019-07-10,-338.0,-390.0
2019-07-11,-408.5,-407.5
2019-07-12,-435.5,-423.0
2019-07-13,-435.5,-423.0
2019-07-14,-458.5,-423.0
2019-07-15,-475.5,-440.0
2019-07-16,-389.5,-354.0
2019-07-17,-408.0,-363.5
2019-07-18,-257.0,-389.5
2019-07-19,-387.5,-446.0
2019-07-20,-387.5,-446.0
2019-07-21,-387.5,-446.0
2019-07-22,-428.5,-468.5
2019-07-23,-522.5,-562.5
2019-07-24,-611.0,-638.5
2019-07-25,-686.0,-713.5
2019-07-26,-614.0,-641.5
2019-07-27,-614.0,-641.5
2019-07-28,-614.0,-641.5
2019-07-29,-567.5,-668.0
2019-07-30,-556.0,-679.5
2019-07-31,-403.5,-509.5
2019-08-01,0.0,-160.0
2019-08-02,0.0,-160.0
2019-08-03,0.0,-160.0
2019-08-04,0.0,0.0
2019-08-05,-332.0,-152.5
2019-08-06,-421.5,-242.0
2019-08-07,-701.5,-365.0
2019-08-08,-594.5,-165.0
2019-08-09,-492.5,-173.5
2019-08-10,-492.5,-173.5
2019-08-11,-492.5,-227.0
2019-08-12,-277.0,-184.0
2019-08-13,-386.0,-228.5
2019-08-14,-722.0,-228.5
2019-08-15,-546.5,-253.0
2019-08-16,-697.0,-311.0
2019-08-17,-697.0,-311.0
2019-08-18,-722.5,-336.5
2019-08-19,-707.5,-336.5
2019-08-20,-782.0,-375.0
2019-08-21,-899.0,-375.0
2019-08-22,-1020.0,-386.0
2019-08-23,-1241.5,-483.5
2019-08-24,-1241.5,-483.5
2019-08-25,-1343.5,-483.5
2019-08-26,-999.5,-622.5
2019-08-27,-1039.0,-650.5
2019-08-28,-1073.0,-684.5
2019-08-29,-1218.0,-708.0
2019-08-30,-1307.0,-739.0
2019-08-31,-1307.0,-739.0
2019-09-01,-1319.0,-751.0
2019-09-02,-1406.5,-818.0
2019-09-03,-1498.5,-888.0
2019-09-04,-1308.5,-698.0
2019-09-05,-1365.5,-733.0
2019-09-06,-1384.0,-765.0
2019-09-07,-1384.0,-765.0
2019-09-08,-1384.0,-765.0
2019-09-09,-1322.0,-781.0
2019-09-10,-1252.5,-792.5
2019-09-11,-1375.0,-639.5
2019-09-12,-1393.0,-641.5
2019-09-13,-1447.5,-675.5
2019-09-14,-1447.5,-675.5
2019-09-15,-1447.5,-724.5
2019-09-16,-1351.5,-768.5
2019-09-17,-1392.0,-810.0
2019-09-18,-1306.5,-872.5
2019-09-19,-1241.0,-872.5
2019-09-20,-1421.5,-916.0
2019-09-21,-1421.5,-916.0
2019-09-22,-1421.5,-916.0
2019-09-23,-1382.0,-945.0
2019-09-24,-1583.0,-1082.0
2019-09-25,-1619.5,-1089.0
2019-09-26,-1656.5,-1126.0
2019-09-27,-1601.5,-1244.5
2019-09-28,-1601.5,-1244.5
2019-09-29,-1601.5,-1244.5
2019-09-30,-1675.5,-1295.0
2019-10-01,-1474.5,-1295.0
2019-10-02,-1566.5,-1326.5
2019-10-03,-1384.0,-1126.5
2019-10-04,-1411.0,-1126.5
2019-10-05,-1411.0,-1126.5
2019-10-06,-1411.0,-1126.5
2019-10-07,-1373.0,-1088.5
2019-10-08,-1550.0,-1097.5
2019-10-09,-1701.0,-1191.0
2019-10-10,-1827.5,-1342.5
2019-10-11,-1978.5,-1401.0
2019-10-12,-1978.5,-1401.0
2019-10-13,-1978.5,-1401.0
2019-10-14,-1985.5,-1408.0
2019-10-15,-2078.5,-1469.5
2019-10-16,-2095.0,-1486.0
2019-10-17,-2145.5,-1500.0
2019-10-18,-2216.5,-1448.5
2019-10-19,-2216.5,-1448.5
2019-10-20,-2216.5,-1448.5
2019-10-21,-2062.5,-1367.0
2019-10-22,-1889.5,-1180.5
2019-10-23,-1946.0,-1237.0
2019-10-24,-2003.5,-1237.0
2019-10-25,-1834.5,-1055.0
2019-10-26,-1834.5,-1055.0
2019-10-27,-1834.5,-1055.0
2019-10-28,-1840.0,-1060.5
2019-10-29,-1776.0,-950.0
2019-10-30,-1646.5,-820.5
2019-10-31,-1640.5,-748.5
2019-11-01,-1569.0,-757.5
2019-11-02,-1569.0,-757.5
2019-11-03,-1569.0,-757.5
2019-11-04,-1588.5,-761.0
2019-11-05,-1667.0,-788.5
2019-11-06,-1639.0,-735.0
2019-11-07,-1579.0,-668.5
2019-11-08,-1455.0,-689.5
2019-11-09,-1455.0,-689.5
2019-11-10,-1463.0,-697.5
2019-11-11,-1421.0,-720.5
2019-11-12,-1484.0,-760.0
2019-11-13,-1495.5,-794.5
2019-11-14,-1564.5,-857.5
2019-11-15,-1468.5,-882.5
2019-11-16,-1468.5,-882.5
2019-11-17,-1468.5,-882.5
2019-11-18,-1523.0,-905.0
2019-11-19,-1480.0,-936.0
2019-11-20,-1253.0,-1003.5
2019-11-21,-1254.0,-971.5
2019-11-22,-1255.0,-981.0
2019-11-23,-1255.0,-981.0
2019-11-24,-1255.0,-981.0
2019-11-25,-1384.5,-981.0
2019-11-26,-1424.5,-1004.0
2019-11-27,-1457.0,-1036.5
2019-11-28,-1413.0,-1036.5
2019-11-29,-1413.0,-1046.0
2019-11-30,-1413.0,-1046.0
2019-12-01,-1390.0,-1046.0
2019-12-02,-1463.0,-1083.0
2019-12-03,-1660.5,-1116.5
2019-12-04,-1687.5,-1136.5
2019-12-05,-1684.5,-1133.5
2019-12-06,-1695.5,-1144.5
2019-12-07,-1695.5,-1144.5
2019-12-08,-1708.0,-1157.0
2019-12-09,-1762.5,-1209.5
2019-12-10,-1702.5,-1149.5
2019-12-11,-1737.0,-1159.5
2019-12-12,-1602.5,-1068.0
2019-12-13,-1569.0,-1077.5
2019-12-14,-1569.0,-1077.5
2019-12-15,-1569.0,-1077.5
2019-12-16,-1551.5,-1060.0
2019-12-17,-1549.5,-1060.0
2019-12-18,-1605.0,-1064.0
2019-12-19,-1630.0,-1089.0
2019-12-20,-1636.5,-1095.5
2019-12-21,-1636.5,-1095.5
2019-12-22,-1636.5,-1095.5
2019-12-23,-1622.0,-1081.0
2019-12-24,-1646.5,-1090.0
2019-12-25,-1629.5,-1090.0
2019-12-26,-1629.5,-1090.0
2019-12-27,-1547.5,-1101.0
2019-12-28,-1547.5,-1101.0
2019-12-29,-1547.5,-1101.0
2019-12-30,-1597.5,-1101.0
2019-12-31,-1603.5,-1107.0
2020-01-01,-1603.5,-1107.0
2020-01-02,-1685.5,-1148.5
2020-01-03,-1630.0,-1203.0
2020-01-04,-1630.0,-1203.0
2020-01-05,-1630.0,-1203.0
2020-01-06,-1371.0,-1251.5
2020-01-07,-1554.0,-1355.5
2020-01-08,-1485.5,-1396.0
2020-01-09,-1537.5,-1448.0
2020-01-10,-1437.5,-1462.0
2020-01-11,-1437.5,-1462.0
2020-01-12,-1437.5,-1462.0
2020-01-13,-1483.5,-1469.5
2020-01-14,-1555.5,-1541.5
2020-01-15,-1633.5,-1607.5
2020-01-16,-1645.5,-1619.5
