trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl
3534,7863,short,1h,2025-12-31 19:00:00+00:00,2025-12-31 20:00:00+00:00,25581.75,25634.75,2026-01-02 02:23:00+00:00,25581.75,25635.75,25481.75,2026-01-02 04:25:00+00:00,25635.75,stop,-54.0,-108.0
3535,7861,short,1h,2025-12-30 19:00:00+00:00,2025-12-30 20:00:00+00:00,25728.75,25744.0,2026-01-02 09:10:00+00:00,25728.75,25745.0,25628.75,2026-01-02 14:47:00+00:00,25745.0,stop,-16.25,-32.5
3536,7865,long,1h,2026-01-02 14:00:00+00:00,2026-01-02 15:00:00+00:00,25702.5,25638.0,2026-01-02 15:08:00+00:00,25702.5,25637.0,25802.5,2026-01-02 15:12:00+00:00,25637.0,stop,-65.5,-131.0
3537,7832,long,1h,2025-12-19 03:00:00+00:00,2025-12-19 04:00:00+00:00,25266.25,25236.25,2026-01-02 18:50:00+00:00,25266.25,25235.25,25366.25,2026-01-02 19:11:00+00:00,25366.25,target,100.0,200.0
3538,7869,long,1h,2026-01-05 04:00:00+00:00,2026-01-05 05:00:00+00:00,25474.0,25456.0,2026-01-05 05:08:00+00:00,25474.0,25455.0,25574.0,2026-01-05 11:48:00+00:00,25574.0,target,100.0,200.0
3539,7866,short,1h,2026-01-02 15:00:00+00:00,2026-01-02 16:00:00+00:00,25692.25,25803.5,2026-01-05 16:09:00+00:00,25692.25,25792.25,25592.25,2026-01-05 18:08:00+00:00,25592.25,target,100.0,200.0
3540,7874,long,1h,2026-01-06 06:00:00+00:00,2026-01-06 07:00:00+00:00,25646.75,25638.25,2026-01-06 07:45:00+00:00,25646.75,25637.25,25746.75,2026-01-06 08:01:00+00:00,25637.25,stop,-9.5,-19.0
3541,7873,long,1h,2026-01-06 04:00:00+00:00,2026-01-06 05:00:00+00:00,25623.75,25616.5,2026-01-06 08:03:00+00:00,25623.75,25615.5,25723.75,2026-01-06 08:10:00+00:00,25615.5,stop,-8.25,-16.5
3542,7872,long,1h,2026-01-06 01:00:00+00:00,2026-01-06 02:00:00+00:00,25566.25,25552.25,2026-01-06 08:22:00+00:00,25566.25,25551.25,25666.25,2026-01-06 08:27:00+00:00,25551.25,stop,-15.0,-30.0
3543,7877,short,1h,2026-01-07 01:00:00+00:00,2026-01-07 02:00:00+00:00,25825.25,25842.5,2026-01-07 02:05:00+00:00,25825.25,25843.5,25725.25,2026-01-07 14:41:00+00:00,25843.5,stop,-18.25,-36.5
3544,7856,short,1h,2025-12-29 05:00:00+00:00,2025-12-29 06:00:00+00:00,25852.5,25867.75,2026-01-07 14:42:00+00:00,25852.5,25868.75,25752.5,2026-01-07 14:46:00+00:00,25868.75,stop,-16.25,-32.5
3545,7855,short,1h,2025-12-29 01:00:00+00:00,2025-12-29 02:00:00+00:00,25871.0,25893.5,2026-01-07 14:48:00+00:00,25871.0,25894.5,25771.0,2026-01-07 15:35:00+00:00,25894.5,stop,-23.5,-47.0
3546,7882,short,1h,2026-01-07 23:00:00+00:00,2026-01-08 00:00:00+00:00,25834.75,25850.25,2026-01-08 00:38:00+00:00,25834.75,25851.25,25734.75,2026-01-08 06:01:00+00:00,25734.75,target,100.0,200.0
3547,7883,short,1h,2026-01-08 05:00:00+00:00,2026-01-08 06:00:00+00:00,25776.5,25793.5,2026-01-08 07:23:00+00:00,25776.5,25794.5,25676.5,2026-01-08 07:24:00+00:00,25794.5,stop,-18.0,-36.0
3548,7881,short,1h,2026-01-07 18:00:00+00:00,2026-01-07 19:00:00+00:00,25970.0,25998.0,2026-01-09 19:46:00+00:00,25970.0,25999.0,25870.0,2026-01-09 21:00:00+00:00,25928.75,timed_close,41.25,82.5
3549,7893,long,1h,2026-01-13 03:00:00+00:00,2026-01-13 04:00:00+00:00,25879.25,25861.25,2026-01-13 04:03:00+00:00,25879.25,25860.25,25979.25,2026-01-13 13:30:00+00:00,25979.25,target,100.0,200.0
3550,7896,long,1h,2026-01-13 13:00:00+00:00,2026-01-13 14:00:00+00:00,25900.5,25886.5,2026-01-13 15:02:00+00:00,25900.5,25885.5,26000.5,2026-01-13 15:15:00+00:00,25885.5,stop,-15.0,-30.0
3551,7898,short,1h,2026-01-14 08:00:00+00:00,2026-01-14 09:00:00+00:00,25860.75,25876.0,2026-01-14 09:00:00+00:00,25860.75,25877.0,25760.75,2026-01-14 09:10:00+00:00,25877.0,stop,-16.25,-32.5
3552,7891,long,1h,2026-01-12 14:00:00+00:00,2026-01-12 15:00:00+00:00,25753.0,25719.75,2026-01-14 10:34:00+00:00,25753.0,25718.75,25853.0,2026-01-14 10:52:00+00:00,25718.75,stop,-34.25,-68.5
3553,7901,long,1h,2026-01-15 01:00:00+00:00,2026-01-15 02:00:00+00:00,25605.5,25562.5,2026-01-15 02:29:00+00:00,25605.5,25561.5,25705.5,2026-01-15 06:18:00+00:00,25705.5,target,100.0,200.0
3554,7903,long,1h,2026-01-15 08:00:00+00:00,2026-01-15 09:00:00+00:00,25700.25,25673.5,2026-01-15 20:20:00+00:00,25700.25,25672.5,25800.25,2026-01-15 21:00:00+00:00,25717.25,timed_close,17.0,34.0
3555,7907,long,1h,2026-01-16 06:00:00+00:00,2026-01-16 07:00:00+00:00,25810.25,25802.25,2026-01-16 07:33:00+00:00,25810.25,25801.25,25910.25,2026-01-16 08:40:00+00:00,25801.25,stop,-9.0,-18.0
3556,7908,long,1h,2026-01-16 10:00:00+00:00,2026-01-16 11:00:00+00:00,25817.25,25810.0,2026-01-16 12:54:00+00:00,25817.25,25809.0,25917.25,2026-01-16 12:55:00+00:00,25809.0,stop,-8.25,-16.5
3557,7910,long,1h,2026-01-19 05:00:00+00:00,2026-01-19 06:00:00+00:00,25386.75,25371.0,2026-01-19 06:58:00+00:00,25386.75,25370.0,25486.75,2026-01-19 07:04:00+00:00,25370.0,stop,-16.75,-33.5
3558,7868,long,1h,2026-01-02 19:00:00+00:00,2026-01-02 20:00:00+00:00,25324.0,25265.25,2026-01-19 09:19:00+00:00,25324.0,25264.25,25424.0,2026-01-19 09:57:00+00:00,25264.25,stop,-59.75,-119.5
3559,7831,long,1h,2025-12-18 13:00:00+00:00,2025-12-18 14:00:00+00:00,25100.75,25064.75,2026-01-20 09:33:00+00:00,25100.75,25063.75,25200.75,2026-01-20 10:27:00+00:00,25200.75,target,100.0,200.0
3560,7915,short,1h,2026-01-20 06:00:00+00:00,2026-01-20 07:00:00+00:00,25380.5,25412.75,2026-01-20 15:32:00+00:00,25380.5,25413.75,25280.5,2026-01-20 15:42:00+00:00,25413.75,stop,-33.25,-66.5
3561,7914,short,1h,2026-01-20 03:00:00+00:00,2026-01-20 04:00:00+00:00,25420.0,25438.75,2026-01-20 16:10:00+00:00,25420.0,25439.75,25320.0,2026-01-20 17:30:00+00:00,25320.0,target,100.0,200.0
3562,7921,long,1h,2026-01-21 05:00:00+00:00,2026-01-21 06:00:00+00:00,25197.0,25182.5,2026-01-21 06:50:00+00:00,25197.0,25181.5,25297.0,2026-01-21 09:37:00+00:00,25181.5,stop,-15.5,-31.0
3563,7920,long,1h,2026-01-21 00:00:00+00:00,2026-01-21 01:00:00+00:00,25147.0,25103.5,2026-01-21 09:56:00+00:00,25147.0,25102.5,25247.0,2026-01-21 11:49:00+00:00,25102.5,stop,-44.5,-89.0
3564,7923,short,1h,2026-01-21 11:00:00+00:00,2026-01-21 12:00:00+00:00,25129.5,25188.5,2026-01-21 14:04:00+00:00,25129.5,25189.5,25029.5,2026-01-21 14:11:00+00:00,25189.5,stop,-60.0,-120.0
3565,7918,short,1h,2026-01-20 17:00:00+00:00,2026-01-20 18:00:00+00:00,25363.0,25430.0,2026-01-21 15:16:00+00:00,25363.0,25431.0,25263.0,2026-01-21 15:35:00+00:00,25431.0,stop,-68.0,-136.0
3566,7928,short,1h,2026-01-22 14:00:00+00:00,2026-01-22 15:00:00+00:00,25690.75,25739.75,2026-01-22 16:45:00+00:00,25690.75,25740.75,25590.75,2026-01-22 20:35:00+00:00,25590.75,target,100.0,200.0
3567,7932,long,1h,2026-01-26 07:00:00+00:00,2026-01-26 08:00:00+00:00,25674.75,25665.0,2026-01-26 09:30:00+00:00,25674.75,25664.0,25774.75,2026-01-26 09:31:00+00:00,25664.0,stop,-10.75,-21.5
3568,7931,long,1h,2026-01-26 05:00:00+00:00,2026-01-26 06:00:00+00:00,25635.0,25622.75,2026-01-26 09:39:00+00:00,25635.0,25621.75,25735.0,2026-01-26 09:44:00+00:00,25621.75,stop,-13.25,-26.5
3569,7933,short,1h,2026-01-26 09:00:00+00:00,2026-01-26 10:00:00+00:00,25700.5,25742.25,2026-01-26 12:08:00+00:00,25700.5,25743.25,25600.5,2026-01-26 14:28:00+00:00,25743.25,stop,-42.75,-85.5
3570,7935,short,1h,2026-01-26 19:00:00+00:00,2026-01-26 20:00:00+00:00,25891.0,25932.75,2026-01-26 20:09:00+00:00,25891.0,25933.75,25791.0,2026-01-26 21:00:00+00:00,25843.25,timed_close,47.75,95.5
3571,7937,short,1h,2026-01-27 08:00:00+00:00,2026-01-27 09:00:00+00:00,26002.5,26020.75,2026-01-27 10:46:00+00:00,26002.5,26021.75,25902.5,2026-01-27 11:34:00+00:00,26021.75,stop,-19.25,-38.5
3572,7938,long,1h,2026-01-27 10:00:00+00:00,2026-01-27 11:00:00+00:00,25983.5,25967.0,2026-01-27 13:52:00+00:00,25983.5,25966.0,26083.5,2026-01-27 14:30:00+00:00,25966.0,stop,-17.5,-35.0
3573,7940,short,1h,2026-01-27 17:00:00+00:00,2026-01-27 18:00:00+00:00,26078.5,26107.0,2026-01-27 18:20:00+00:00,26078.5,26108.0,25978.5,2026-01-27 20:13:00+00:00,26108.0,stop,-29.5,-59.0
3574,7943,long,1h,2026-01-28 02:00:00+00:00,2026-01-28 03:00:00+00:00,26206.75,26201.5,2026-01-28 03:26:00+00:00,26206.75,26200.5,26306.75,2026-01-28 03:27:00+00:00,26200.5,stop,-6.25,-12.5
3575,7944,short,1h,2026-01-28 08:00:00+00:00,2026-01-28 09:00:00+00:00,26301.75,26332.0,2026-01-28 10:36:00+00:00,26301.75,26333.0,26201.75,2026-01-28 15:34:00+00:00,26201.75,target,100.0,200.0
3576,7951,short,1h,2026-01-30 05:00:00+00:00,2026-01-30 06:00:00+00:00,25847.5,25896.5,2026-01-30 11:51:00+00:00,25847.5,25897.5,25747.5,2026-01-30 12:01:00+00:00,25897.5,stop,-50.0,-100.0
3577,7953,short,1h,2026-01-30 21:00:00+00:00,2026-01-30 22:00:00+00:00,25658.25,25730.25,2026-02-02 14:32:00+00:00,25658.25,25731.25,25558.25,2026-02-02 14:44:00+00:00,25731.25,stop,-73.0,-146.0
3578,7952,short,1h,2026-01-30 16:00:00+00:00,2026-01-30 17:00:00+00:00,25826.75,25934.25,2026-02-02 15:07:00+00:00,25826.75,25926.75,25726.75,2026-02-02 17:32:00+00:00,25926.75,stop,-100.0,-200.0
3579,7956,short,1h,2026-02-02 19:00:00+00:00,2026-02-02 20:00:00+00:00,25923.5,25949.0,2026-02-02 23:08:00+00:00,25923.5,25950.0,25823.5,2026-02-02 23:30:00+00:00,25950.0,stop,-26.5,-53.0
3580,7957,short,1h,2026-02-03 02:00:00+00:00,2026-02-03 03:00:00+00:00,25952.5,25990.75,2026-02-03 03:40:00+00:00,25952.5,25991.75,25852.5,2026-02-03 05:49:00+00:00,25991.75,stop,-39.25,-78.5
3581,7958,long,1h,2026-02-03 12:00:00+00:00,2026-02-03 13:00:00+00:00,25955.75,25922.75,2026-02-03 14:06:00+00:00,25955.75,25921.75,26055.75,2026-02-03 14:30:00+00:00,25921.75,stop,-34.0,-68.0
3582,7955,long,1h,2026-02-02 07:00:00+00:00,2026-02-02 08:00:00+00:00,25249.75,25180.25,2026-02-03 18:59:00+00:00,25249.75,25179.25,25349.75,2026-02-03 19:20:00+00:00,25349.75,target,100.0,200.0
3583,7924,long,1h,2026-01-21 14:00:00+00:00,2026-01-21 15:00:00+00:00,25086.0,25040.0,2026-02-04 16:02:00+00:00,25086.0,25039.0,25186.0,2026-02-04 16:39:00+00:00,25039.0,stop,-47.0,-94.0
3584,7830,long,1h,2025-12-18 07:00:00+00:00,2025-12-18 08:00:00+00:00,24985.75,24953.75,2026-02-04 16:43:00+00:00,24985.75,24952.75,25085.75,2026-02-04 16:48:00+00:00,24952.75,stop,-33.0,-66.0
3585,7963,long,1h,2026-02-05 04:00:00+00:00,2026-02-05 05:00:00+00:00,24961.75,24915.5,2026-02-05 12:20:00+00:00,24961.75,24914.5,25061.75,2026-02-05 12:23:00+00:00,24914.5,stop,-47.25,-94.5
3586,7967,long,1h,2026-02-06 20:00:00+00:00,2026-02-06 21:00:00+00:00,25084.25,25055.75,2026-02-09 09:56:00+00:00,25084.25,25054.75,25184.25,2026-02-09 10:06:00+00:00,25054.75,stop,-29.5,-59.0
3587,7971,short,1h,2026-02-09 09:00:00+00:00,2026-02-09 10:00:00+00:00,25159.25,25214.75,2026-02-09 14:45:00+00:00,25159.25,25215.75,25059.25,2026-02-09 15:14:00+00:00,25215.75,stop,-56.5,-113.0
3588,7973,long,1h,2026-02-10 04:00:00+00:00,2026-02-10 05:00:00+00:00,25307.75,25278.5,2026-02-10 06:34:00+00:00,25307.75,25277.5,25407.75,2026-02-10 12:24:00+00:00,25407.75,target,100.0,200.0
3589,7977,short,1h,2026-02-11 08:00:00+00:00,2026-02-11 09:00:00+00:00,25269.25,25290.25,2026-02-11 09:02:00+00:00,25269.25,25291.25,25169.25,2026-02-11 10:01:00+00:00,25169.25,target,100.0,200.0
3590,7961,short,1h,2026-02-04 12:00:00+00:00,2026-02-04 13:00:00+00:00,25450.25,25491.0,2026-02-11 13:56:00+00:00,25450.25,25492.0,25350.25,2026-02-11 14:37:00+00:00,25350.25,target,100.0,200.0
3591,7979,long,1h,2026-02-12 03:00:00+00:00,2026-02-12 04:00:00+00:00,25301.5,25269.0,2026-02-12 06:35:00+00:00,25301.5,25268.0,25401.5,2026-02-12 13:40:00+00:00,25401.5,target,100.0,200.0
3592,7986,short,1h,2026-02-13 03:00:00+00:00,2026-02-13 04:00:00+00:00,24786.75,24832.25,2026-02-13 04:16:00+00:00,24786.75,24833.25,24686.75,2026-02-13 06:25:00+00:00,24686.75,target,100.0,200.0
3593,7987,short,1h,2026-02-13 05:00:00+00:00,2026-02-13 06:00:00+00:00,24750.25,24803.25,2026-02-13 07:17:00+00:00,24750.25,24804.25,24650.25,2026-02-13 09:24:00+00:00,24804.25,stop,-54.0,-108.0
3594,7991,long,1h,2026-02-16 01:00:00+00:00,2026-02-16 02:00:00+00:00,24836.25,24809.25,2026-02-16 02:50:00+00:00,24836.25,24808.25,24936.25,2026-02-16 03:41:00+00:00,24808.25,stop,-28.0,-56.0
3595,7992,short,1h,2026-02-16 05:00:00+00:00,2026-02-16 06:00:00+00:00,24823.5,24840.5,2026-02-16 06:46:00+00:00,24823.5,24841.5,24723.5,2026-02-16 07:01:00+00:00,24841.5,stop,-18.0,-36.0
3596,7997,short,1h,2026-02-17 05:00:00+00:00,2026-02-17 06:00:00+00:00,24609.75,24630.0,2026-02-17 06:08:00+00:00,24609.75,24631.0,24509.75,2026-02-17 06:11:00+00:00,24631.0,stop,-21.25,-42.5
3597,7998,long,1h,2026-02-17 09:00:00+00:00,2026-02-17 10:00:00+00:00,24660.25,24624.0,2026-02-17 10:12:00+00:00,24660.25,24623.0,24760.25,2026-02-17 10:41:00+00:00,24623.0,stop,-37.25,-74.5
3598,7999,short,1h,2026-02-17 12:00:00+00:00,2026-02-17 13:00:00+00:00,24605.5,24667.5,2026-02-17 13:23:00+00:00,24605.5,24668.5,24505.5,2026-02-17 13:51:00+00:00,24668.5,stop,-63.0,-126.0
3599,7995,short,1h,2026-02-16 13:00:00+00:00,2026-02-16 14:00:00+00:00,24863.25,24881.0,2026-02-17 18:55:00+00:00,24863.25,24882.0,24763.25,2026-02-17 19:36:00+00:00,24882.0,stop,-18.75,-37.5
3600,7993,short,1h,2026-02-16 10:00:00+00:00,2026-02-16 11:00:00+00:00,24895.25,24922.25,2026-02-18 08:16:00+00:00,24895.25,24923.25,24795.25,2026-02-18 09:12:00+00:00,24923.25,stop,-28.0,-56.0
3601,8005,short,1h,2026-02-18 11:00:00+00:00,2026-02-18 12:00:00+00:00,24909.25,24940.0,2026-02-18 12:01:00+00:00,24909.25,24941.0,24809.25,2026-02-18 12:06:00+00:00,24941.0,stop,-31.75,-63.5
3602,8004,long,1h,2026-02-18 07:00:00+00:00,2026-02-18 08:00:00+00:00,24825.25,24802.0,2026-02-18 13:48:00+00:00,24825.25,24801.0,24925.25,2026-02-18 14:30:00+00:00,24801.0,stop,-24.25,-48.5
3603,8006,short,1h,2026-02-19 04:00:00+00:00,2026-02-19 05:00:00+00:00,24979.75,24999.5,2026-02-19 05:30:00+00:00,24979.75,25000.5,24879.75,2026-02-19 05:48:00+00:00,25000.5,stop,-20.75,-41.5
3604,8009,short,1h,2026-02-20 07:00:00+00:00,2026-02-20 08:00:00+00:00,24942.75,24960.0,2026-02-20 09:03:00+00:00,24942.75,24961.0,24842.75,2026-02-20 09:07:00+00:00,24961.0,stop,-18.25,-36.5
3605,8017,short,1h,2026-02-24 05:00:00+00:00,2026-02-24 06:00:00+00:00,24873.0,24890.25,2026-02-24 12:03:00+00:00,24873.0,24891.25,24773.0,2026-02-24 12:06:00+00:00,24891.25,stop,-18.25,-36.5
3606,8018,long,1h,2026-02-24 13:00:00+00:00,2026-02-24 14:00:00+00:00,24832.75,24796.25,2026-02-24 14:20:00+00:00,24832.75,24795.25,24932.75,2026-02-24 14:30:00+00:00,24795.25,stop,-37.5,-75.0
3607,8016,long,1h,2026-02-23 20:00:00+00:00,2026-02-23 21:00:00+00:00,24727.5,24678.5,2026-02-24 14:33:00+00:00,24727.5,24677.5,24827.5,2026-02-24 14:40:00+00:00,24827.5,target,100.0,200.0
3608,8014,short,1h,2026-02-22 23:00:00+00:00,2026-02-23 00:00:00+00:00,25074.5,25088.25,2026-02-24 17:11:00+00:00,25074.5,25089.25,24974.5,2026-02-24 21:00:00+00:00,25031.5,timed_close,43.0,86.0
3609,8021,short,1h,2026-02-25 03:00:00+00:00,2026-02-25 04:00:00+00:00,25102.75,25118.0,2026-02-25 11:35:00+00:00,25102.75,25119.0,25002.75,2026-02-25 11:46:00+00:00,25119.0,stop,-16.25,-32.5
