Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars),entry_time_utc,direction,signal_time_utc,zone_time_utc,research_proximal,research_distal,opposing_room_r,source
17,Entry long,2026-01-13 12:18,P6L|sig=1768324620000|zone=1768316400000|prox=26454.50|dist=26314.25|room=2.331,26455.25,1,52910.5,-201.5,-0.38,0,76.5,0.14,-201.5,-0.38,436.0,0.04,92,2026-01-13 17:18:00+00:00,long,2026-01-13 17:17:00+00:00,2026-01-13 15:00:00+00:00,26454.5,26314.25,2.331,tradingview
52,Entry long,2026-02-05 07:45,P6L|sig=1770295440000|zone=1763989200000|prox=25263.00|dist=25248.75|room=23.2131,25296.5,1,50593.0,-97.5,-0.19,0,35.5,0.07,-97.5,-0.19,-247.5,-0.02,1,2026-02-05 12:45:00+00:00,long,2026-02-05 12:44:00+00:00,2025-11-24 13:00:00+00:00,25263.0,25248.75,23.2131,tradingview
53,Entry long,2026-02-05 09:33,P6L|sig=1770301920000|zone=1763978400000|prox=25180.25|dist=25119.00|room=7.0161,25228.25,1,50456.5,104.0,0.21,0,104.0,0.21,-47.0,-0.09,-143.5,-0.01,1,2026-02-05 14:33:00+00:00,long,2026-02-05 14:32:00+00:00,2025-11-24 10:00:00+00:00,25180.25,25119.0,7.0161,tradingview
120,Entry long,2026-03-19 07:23,P6L|sig=1773919320000|zone=1773907200000|prox=24850.50|dist=24793.00|room=4.906,24845.0,1,49690.0,-106.0,-0.21,0,10.5,0.02,-106.0,-0.21,1345.0,0.13,39,2026-03-19 11:23:00+00:00,long,2026-03-19 11:22:00+00:00,2026-03-19 08:00:00+00:00,24850.5,24793.0,4.906,tradingview
126,Entry long,2026-03-20 13:37,P6L|sig=1774028160000|zone=1756990800000|prox=24484.00|dist=24409.25|room=3.3333,24468.0,1,48936.0,-119.5,-0.24,0,94.0,0.19,-119.5,-0.24,1082.0,0.11,46,2026-03-20 17:37:00+00:00,long,2026-03-20 17:36:00+00:00,2025-09-04 13:00:00+00:00,24484.0,24409.25,3.3333,tradingview
127,Entry long,2026-03-20 15:12,P6L|sig=1774033860000|zone=1756922400000|prox=24364.75|dist=24317.50|room=7.7047,24364.25,1,48728.5,-95.5,-0.2,0,55.0,0.11,-95.5,-0.2,986.5,0.1,23,2026-03-20 19:12:00+00:00,long,2026-03-20 19:11:00+00:00,2025-09-03 18:00:00+00:00,24364.75,24317.5,7.7047,tradingview
150,Entry short,2026-04-07 18:52,P6S|sig=1775602260000|zone=1773853200000|prox=25137.50|dist=25209.50|room=8.4795,25145.5,1,50291.0,-130.0,-0.26,0,49.0,0.1,-130.0,-0.26,756.5,0.08,7,2026-04-07 22:52:00+00:00,short,2026-04-07 22:51:00+00:00,2026-03-18 17:00:00+00:00,25137.5,25209.5,8.4795,tradingview
161,Entry short,2026-04-15 18:48,P6S|sig=1776293220000|zone=1769691600000|prox=26683.50|dist=26712.25|room=13.1933,26682.75,1,53365.5,-61.0,-0.11,0,14.5,0.03,-61.0,-0.11,892.0,0.09,88,2026-04-15 22:48:00+00:00,short,2026-04-15 22:47:00+00:00,2026-01-29 13:00:00+00:00,26683.5,26712.25,13.1933,tradingview
164,Entry short,2026-04-16 11:38,P6S|sig=1776353820000|zone=1769598000000|prox=26825.50|dist=26835.00|room=50.9048,26818.75,1,53637.5,-34.5,-0.06,0,109.5,0.2,-34.5,-0.06,1018.5,0.1,22,2026-04-16 15:38:00+00:00,short,2026-04-16 15:37:00+00:00,2026-01-28 11:00:00+00:00,26825.5,26835.0,50.9048,tradingview
166,Entry short,2026-04-17 10:41,P6S|sig=1776436800000|zone=1761793200000|prox=27114.50|dist=27157.25|room=6.5143,27107.5,1,54215.0,-101.5,-0.19,0,25.5,0.05,-101.5,-0.19,886.0,0.09,50,2026-04-17 14:41:00+00:00,short,2026-04-17 14:40:00+00:00,2025-10-30 03:00:00+00:00,27114.5,27157.25,6.5143,tradingview
