factor_key,factor,timing,bucket,split,trades,win_rate,avg_pnl,gross_pnl,gross_pf,pf_4tick,pnl_4tick,max_drawdown,sharpe
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Low <0.75,Overall,1043,0.1860019175455417,2.5273250239693192,2636.0,1.0917156675133086,1.0180671440772617,550.0,-1963.0,0.3214476082225454
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Normal 0.75–1.25,Overall,1735,0.2547550432276657,6.106340057636888,10594.5,1.1689551239115874,1.109110818426856,7124.5,-2802.0,0.9257576751649533
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,High ≥1.25,Overall,1115,0.24932735426008967,-0.4982062780269058,-555.5,0.9886894642002708,0.9451559869658098,-2785.5,-3542.0,9.846112169816686e-05
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Unavailable,Overall,22,0.13636363636363635,-10.636363636363637,-234.0,0.660377358490566,0.6176066024759285,-278.0,-383.5,-0.2643148121597241
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Low <0.75,Train 2019–22,529,0.17391304347826086,0.46502835538752363,246.0,1.0190027422656522,0.9412509496074956,-812.0,-1963.0,0.009644886860572629
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Normal 0.75–1.25,Train 2019–22,817,0.22766217870257038,1.291921664626683,1055.5,1.0384454278897812,0.9798561902606334,-578.5,-2173.5,0.1680449136394074
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,High ≥1.25,Train 2019–22,582,0.2422680412371134,-1.052405498281787,-612.5,0.9745876983715382,0.9289016068677086,-1776.5,-2917.0,-0.17101932179642024
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Unavailable,Train 2019–22,22,0.13636363636363635,-10.636363636363637,-234.0,0.660377358490566,0.6176066024759285,-278.0,-383.5,-0.3741426845023272
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Low <0.75,Validation 2023–24,272,0.15441176470588236,1.9852941176470589,540.0,1.0826193390452876,0.999428326425611,-4.0,-1103.5,0.32115541502955963
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Normal 0.75–1.25,Validation 2023–24,490,0.25918367346938775,13.444897959183674,6588.0,1.4459637840582162,1.3617947808135222,5608.0,-1397.5,2.1641221254387157
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,High ≥1.25,Validation 2023–24,287,0.20209059233449478,-2.947735191637631,-846.0,0.922996404678469,0.8759229324129495,-1420.0,-3028.0,-0.3167562654717716
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Unavailable,Validation 2023–24,0,,,0.0,,,0.0,,
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Low <0.75,Holdout 2025–26,242,0.24793388429752067,7.644628099173554,1850.0,1.1997948053350613,1.141944199095963,1366.0,-1587.5,0.8409149397835427
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Normal 0.75–1.25,Holdout 2025–26,428,0.3014018691588785,6.894859813084112,2951.0,1.1440988329508277,1.0993974474545714,2095.0,-2802.0,0.9497404080172678
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,High ≥1.25,Holdout 2025–26,246,0.32113821138211385,3.6707317073170733,903.0,1.0643873221861742,1.0286241599052826,411.0,-2308.0,0.5746389267566769
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,Unavailable,Holdout 2025–26,0,,,0.0,,,0.0,,
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Low <0.75,Overall,1149,0.2010443864229765,2.2637075718015667,2601.0,1.0738354103386607,1.0081742766574493,303.0,-2787.5,0.3702393335024608
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Normal 0.75–1.25,Overall,1055,0.25497630331753557,7.038862559241706,7426.0,1.2004102121228477,1.1376185976675253,5316.0,-2275.0,0.8137677151986173
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,High ≥1.25,Overall,1652,0.24213075060532688,0.8483656174334141,1401.5,1.0209529362516445,0.9725840850794016,-1902.5,-3713.5,0.14620895188349248
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Unavailable,Overall,59,0.288135593220339,17.161016949152543,1012.5,1.4866618601297765,1.4132594132594132,894.5,-424.0,0.32632364688801035
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Low <0.75,Train 2019–22,577,0.16984402079722705,-2.817157712305026,-1625.5,0.9030246987233027,0.8431610427716962,-2779.5,-2787.5,-0.35471285658145674
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Normal 0.75–1.25,Train 2019–22,487,0.24845995893223818,5.560574948665297,2708.0,1.1728915278043797,1.1057510520217113,1734.0,-1728.5,0.630272526069689
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,High ≥1.25,Train 2019–22,841,0.22829964328180738,-1.37871581450654,-1159.5,0.9630797153364856,0.9131185886165936,-2841.5,-2774.5,-0.26304432273425193
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Unavailable,Train 2019–22,45,0.24444444444444444,11.822222222222223,532.0,1.390889052167524,1.3093072078376486,442.0,-411.0,0.07114035825919814
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Low <0.75,Validation 2023–24,318,0.20125786163522014,6.29559748427673,2002.0,1.2393305439330544,1.1539068221508648,1366.0,-1222.0,0.9752326114297221
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Normal 0.75–1.25,Validation 2023–24,304,0.23026315789473684,7.845394736842105,2385.0,1.26079825041006,1.1848442294689758,1777.0,-1283.5,0.9838072363204468
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,High ≥1.25,Validation 2023–24,422,0.21800947867298578,4.430094786729858,1869.5,1.1279559221108106,1.0671556268622509,1025.5,-1275.0,0.7419714355163121
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Unavailable,Validation 2023–24,5,0.2,5.1,25.5,1.146131805157593,1.084931506849315,15.5,-90.0,0.07972766782074527
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Low <0.75,Holdout 2025–26,254,0.27165354330708663,8.757874015748031,2224.5,1.2202475247524753,1.1639446036294174,1716.5,-1389.5,0.9725268701976296
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Normal 0.75–1.25,Holdout 2025–26,264,0.29545454545454547,8.837121212121213,2333.0,1.190511187326474,1.1430496116658742,1805.0,-1797.0,0.9670251663924387
