variant,split,avg_points_ci_low,avg_points_ci_high,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Phase 6 · no RVOL filter,Overall,-0.03508358340127229,3.2693182147728246,3915.0,0.23422733077905492,1.5888888888888888,6220.5,0.03803853301436063,12441.0,1.0880781878873909,-4360.0,0.7570101761203106,1.2664538612973977,0.3930643578095085,2260.998332748281,0.550561797752809
Phase 6 · no RVOL filter,Train 2019–22,-1.958981453695062,2.3403007760108747,1950.0,0.2164102564102564,0.11666666666666667,227.5,-0.03224036935102932,455.0,1.0069794375033554,-4360.0,-0.0250354280099777,-0.041182515208649205,-0.011968121080737927,2081.6573707189323,0.4318181818181818
Phase 6 · no RVOL filter,Validation 2023–24,0.36742502258355925,5.655282887202975,1049.0,0.2163965681601525,2.9942802669208772,3141.0,0.1316307122117941,6282.0,1.194519275429633,-2421.5,1.555952130937234,2.8749892745186565,1.3925410685215334,2085.295958109433,0.7083333333333334
Phase 6 · no RVOL filter,Holdout 2025–26,-0.8230246491005367,8.025477195945944,916.0,0.2925764192139738,3.11353711790393,2852.0,0.08046829680737667,5704.0,1.1303384137284922,-2234.5,1.346103483965641,2.1638841572008687,2.0275419464963216,2774.4763385082756,0.6190476190476191
Phase 6 + prior 1m RVOL 0.75–1.25,Overall,0.32497766320698535,5.7359025627464915,1173.0,0.24722932651321397,3.0462489343563512,3573.25,0.07114341106109051,7146.5,1.1747908819644866,-2572.5,0.7553091332820197,1.4360662540752054,0.3949843260188088,1270.2308043473063,0.6067415730337079
Phase 6 + prior 1m RVOL 0.75–1.25,Train 2019–22,-1.9466640143261986,6.635947788604268,548.0,0.2427007299270073,2.4635036496350367,1350.0,0.12431354566596982,2700.0,1.1549631245157401,-1663.5,0.603857254249455,1.1613624124186241,0.43838025273430004,1109.2771039251204,0.5681818181818182
Phase 6 + prior 1m RVOL 0.75–1.25,Validation 2023–24,-0.7772699050323422,7.157852328431372,337.0,0.2195845697329377,3.2247774480712166,1086.75,0.02228211724945601,2173.5,1.2140008861320337,-1267.5,0.866032483491577,1.9100603685637658,0.8641301320260711,1235.2805741595266,0.5833333333333334
Phase 6 + prior 1m RVOL 0.75–1.25,Holdout 2025–26,-1.1961525354416576,8.91584105252443,288.0,0.2881944444444444,3.9461805555555554,1136.5,0.027146960543892516,2273.0,1.1708251916428678,-1976.0,0.9124305714467998,1.5810433548419567,0.7612139775961984,1600.5480983639488,0.7142857142857143
Phase 6 + prior 5m RVOL 0.75–1.25,Overall,0.48988729489178456,6.331546058079832,1483.0,0.24679703304113285,3.3361429534726903,4947.5,0.05160113163472448,9895.0,1.189699299291623,-3458.0,0.8804880268766639,1.688191527925497,0.38826305016952334,1459.809546923293,0.5730337078651685
Phase 6 + prior 5m RVOL 0.75–1.25,Train 2019–22,-1.7713265668836002,6.147968512627285,697.0,0.23529411764705882,2.2528694404591105,1570.25,-0.015714058718257363,3140.5,1.138935586621837,-2248.5,0.5737944049807775,1.0851705496698345,0.341089789684497,1309.2673181525222,0.5
Phase 6 + prior 5m RVOL 0.75–1.25,Validation 2023–24,-2.3721751471241395,8.533901244279162,439.0,0.20956719817767655,2.8513667425968108,1251.75,0.09138880587183083,2503.5,1.183118165526826,-3458.0,0.8984695778048287,1.9266972529238484,0.38950257540011146,1435.1607530357264,0.5833333333333334
Phase 6 + prior 5m RVOL 0.75–1.25,Holdout 2025–26,0.6947074905183314,12.030786556788957,347.0,0.3170028818443804,6.1253602305475505,2125.5,0.13647692035500883,4251.0,1.26759410801964,-1568.5,1.383401739854217,2.5025563947035185,1.7957661706660666,1769.2830796033122,0.7142857142857143
