Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars),entry_time_utc,direction,signal_time_utc,zone_time_utc,research_proximal,research_distal,opposing_room_r,first_touch_prior_5m_rvol,source
1,Entry long,2025-10-06 03:40,P6L|sig=1759736400000|zone=1759708800000|prox=25825.25|dist=25808.50|rvol=1.1071|room=5.831,25823.75,1,51647.5,-32.5,-0.06,0,4.0,0.01,-32.5,-0.06,-32.5,-0.03,1,2025-10-06 07:40:00+00:00,long,2025-10-06 07:40:00+00:00,2025-10-06 00:00:00+00:00,25825.25,25808.5,5.831,1.1071,tradingview
2,Entry short,2025-10-06 06:54,P6S|sig=1759748040000|zone=1759482000000|prox=25940.75|dist=25954.75|rvol=1.1271|room=12.4167,25941.75,1,51883.5,-28.0,-0.05,0,111.0,0.21,-28.0,-0.05,-60.5,-0.06,68,2025-10-06 10:54:00+00:00,short,2025-10-06 10:54:00+00:00,2025-10-03 09:00:00+00:00,25940.75,25954.75,12.4167,1.1271,tradingview
3,Entry long,2025-10-06 15:43,P6L|sig=1759779780000|zone=1759766400000|prox=25965.75|dist=25940.00|rvol=0.7691|room=NaN,25965.5,1,51931.0,-53.0,-0.1,0,14.5,0.03,-53.0,-0.1,-113.5,-0.11,16,2025-10-06 19:43:00+00:00,long,2025-10-06 19:43:00+00:00,2025-10-06 16:00:00+00:00,25965.75,25940.0,,0.7691,tradingview
4,Entry long,2025-10-07 10:37,P6L|sig=1759847820000|zone=1759831200000|prox=25947.25|dist=25927.75|rvol=0.9869|room=NaN,25944.0,1,51888.0,-34.5,-0.07,0,50.5,0.1,-34.5,-0.07,-148.0,-0.15,26,2025-10-07 14:37:00+00:00,long,2025-10-07 14:37:00+00:00,2025-10-07 10:00:00+00:00,25947.25,25927.75,,0.9869,tradingview
5,Entry short,2025-10-08 03:51,P6S|sig=1759909860000|zone=1759896000000|prox=25844.00|dist=25852.25|rvol=0.8821|room=6.6757,25846.5,1,51693.0,-13.5,-0.03,0,18.0,0.03,-13.5,-0.03,-161.5,-0.16,29,2025-10-08 07:51:00+00:00,short,2025-10-08 07:51:00+00:00,2025-10-08 04:00:00+00:00,25844.0,25852.25,6.6757,0.8821,tradingview
6,Entry long,2025-10-08 06:11,P6L|sig=1759918260000|zone=1759903200000|prox=25816.50|dist=25784.00|rvol=1.0989|room=3.903,25816.25,1,51632.5,200.5,0.39,0,200.5,0.39,-31.5,-0.06,39.0,0.04,216,2025-10-08 10:11:00+00:00,long,2025-10-08 10:11:00+00:00,2025-10-08 06:00:00+00:00,25816.5,25784.0,3.903,1.0989,tradingview
7,Entry short,2025-10-09 05:35,P6S|sig=1760002500000|zone=1759993200000|prox=26094.50|dist=26107.00|rvol=1.1825|room=4.6852,26094.5,1,52189.0,200.0,0.38,0,200.0,0.38,-9.5,-0.02,239.0,0.24,296,2025-10-09 09:35:00+00:00,short,2025-10-09 09:35:00+00:00,2025-10-09 07:00:00+00:00,26094.5,26107.0,4.6852,1.1825,tradingview
8,Entry short,2025-10-09 15:09,P6S|sig=1760036940000|zone=1760022000000|prox=26008.25|dist=26032.50|rvol=0.9132|room=6.4158,26009.75,1,52019.5,-47.5,-0.09,0,25.0,0.05,-47.5,-0.09,191.5,0.19,29,2025-10-09 19:09:00+00:00,short,2025-10-09 19:09:00+00:00,2025-10-09 15:00:00+00:00,26008.25,26032.5,6.4158,0.9132,tradingview
9,Entry long,2025-10-10 02:36,P6L|sig=1760078160000|zone=1760068800000|prox=26075.00|dist=26054.00|rvol=0.8152|room=NaN,26072.75,1,52145.5,-39.5,-0.08,0,33.0,0.06,-39.5,-0.08,152.0,0.15,15,2025-10-10 06:36:00+00:00,long,2025-10-10 06:36:00+00:00,2025-10-10 04:00:00+00:00,26075.0,26054.0,,0.8152,tradingview
10,Entry long,2025-10-10 10:01,P6L|sig=1760104860000|zone=1760097600000|prox=26080.50|dist=26046.25|rvol=0.9144|room=NaN,26071.25,1,52142.5,-52.0,-0.1,0,92.5,0.18,-52.0,-0.1,100.0,0.1,56,2025-10-10 14:01:00+00:00,long,2025-10-10 14:01:00+00:00,2025-10-10 12:00:00+00:00,26080.5,26046.25,,0.9144,tradingview
11,Entry long,2025-10-14 21:05,P6L|sig=1760490300000|zone=1760482800000|prox=25536.75|dist=25498.25|rvol=1.1182|room=3.1899,25536.25,1,51072.5,201.0,0.39,0,201.0,0.39,-30.5,-0.06,301.0,0.3,235,2025-10-15 01:05:00+00:00,long,2025-10-15 01:05:00+00:00,2025-10-14 23:00:00+00:00,25536.75,25498.25,3.1899,1.1182,tradingview
12,Entry long,2025-10-15 09:31,P6L|sig=1760535060000|zone=1760526000000|prox=25723.00|dist=25695.50|rvol=1.0159|room=10.2018,25716.75,1,51433.5,-44.5,-0.09,0,71.5,0.14,-44.5,-0.09,256.5,0.26,7,2025-10-15 13:31:00+00:00,long,2025-10-15 13:31:00+00:00,2025-10-15 11:00:00+00:00,25723.0,25695.5,10.2018,1.0159,tradingview
13,Entry long,2025-10-20 04:01,P6L|sig=1760947260000|zone=1760940000000|prox=25870.00|dist=25845.00|rvol=0.9725|room=5.5288,25866.75,1,51733.5,-45.5,-0.09,0,50.5,0.1,-45.5,-0.09,211.0,0.21,43,2025-10-20 08:01:00+00:00,long,2025-10-20 08:01:00+00:00,2025-10-20 06:00:00+00:00,25870.0,25845.0,5.5288,0.9725,tradingview
14,Entry long,2025-10-29 10:08,P6L|sig=1761746880000|zone=1761739200000|prox=27032.50|dist=27001.25|rvol=0.9262|room=NaN,27030.5,1,54061.0,-60.5,-0.11,0,71.5,0.13,-60.5,-0.11,150.5,0.15,62,2025-10-29 14:08:00+00:00,long,2025-10-29 14:08:00+00:00,2025-10-29 12:00:00+00:00,27032.5,27001.25,,0.9262,tradingview
15,Entry long,2025-10-30 09:38,P6L|sig=1761831480000|zone=1761634800000|prox=26716.25|dist=26700.00|rvol=1.1034|room=15.8551,26715.75,1,53431.5,201.0,0.38,0,201.0,0.38,-33.0,-0.06,351.5,0.35,10,2025-10-30 13:38:00+00:00,long,2025-10-30 13:38:00+00:00,2025-10-28 07:00:00+00:00,26716.25,26700.0,15.8551,1.1034,tradingview
16,Entry short,2025-10-30 12:13,P6S|sig=1761840780000|zone=1761829200000|prox=26845.25|dist=26937.25|rvol=1.1511|room=3.922,26845.75,1,53691.5,201.0,0.37,0,201.0,0.37,-18.0,-0.03,552.5,0.55,123,2025-10-30 16:13:00+00:00,short,2025-10-30 16:13:00+00:00,2025-10-30 13:00:00+00:00,26845.25,26937.25,3.922,1.1511,tradingview
17,Entry long,2025-11-03 10:26,P6L|sig=1762183560000|zone=1762153200000|prox=26806.00|dist=26774.50|rvol=0.7847|room=3.5769,26799.25,1,53598.5,-51.5,-0.1,0,27.5,0.05,-51.5,-0.1,501.0,0.5,10,2025-11-03 15:26:00+00:00,long,2025-11-03 15:26:00+00:00,2025-11-03 07:00:00+00:00,26806.0,26774.5,3.5769,0.7847,tradingview
18,Entry long,2025-11-04 04:23,P6L|sig=1762248180000|zone=1761526800000|prox=26480.50|dist=26468.75|rvol=1.1668|room=34.6471,26479.75,1,52959.5,-24.0,-0.05,0,61.0,0.12,-24.0,-0.05,477.0,0.48,28,2025-11-04 09:23:00+00:00,long,2025-11-04 09:23:00+00:00,2025-10-27 01:00:00+00:00,26480.5,26468.75,34.6471,1.1668,tradingview
19,Entry long,2025-11-04 11:20,P6L|sig=1762273200000|zone=1762261200000|prox=26512.00|dist=26420.75|rvol=1.0854|room=4.4472,26505.75,1,53011.5,-172.0,-0.32,0,96.5,0.18,-172.0,-0.32,305.0,0.31,59,2025-11-04 16:20:00+00:00,long,2025-11-04 16:20:00+00:00,2025-11-04 13:00:00+00:00,26512.0,26420.75,4.4472,1.0854,tradingview
20,Entry short,2025-11-05 07:21,P6S|sig=1762345260000|zone=1762333200000|prox=26270.50|dist=26309.75|rvol=0.834|room=5.795,26271.0,1,52542.0,-79.5,-0.15,0,28.0,0.05,-79.5,-0.15,225.5,0.23,67,2025-11-05 12:21:00+00:00,short,2025-11-05 12:21:00+00:00,2025-11-05 09:00:00+00:00,26270.5,26309.75,5.795,0.834,tradingview
21,Entry short,2025-11-06 04:13,P6S|sig=1762420380000|zone=1762401600000|prox=26478.00|dist=26500.75|rvol=1.1125|room=8.0842,26478.0,1,52956.0,-47.5,-0.09,0,10.0,0.02,-47.5,-0.09,178.0,0.18,33,2025-11-06 09:13:00+00:00,short,2025-11-06 09:13:00+00:00,2025-11-06 04:00:00+00:00,26478.0,26500.75,8.0842,1.1125,tradingview
