strategy,sharpe,se,tstat,cagr,vol,maxdd,hit,exposure,days,turnover,beta,hold
XS reversal 3d rank,-0.10481825459206524,0.2125242337774325,-0.49320612868006813,-0.01663438653278848,0.1061970743872982,-0.38205146293810277,0.5008912655971479,1.0,5610,144.77220568169182,0.09272886865150602,5d
XS reversal 5d rank,-0.0013633054242925063,0.21194298252183683,-0.006432415964289087,-0.005795990490212399,0.10648653026858731,-0.37654164472962215,0.49393939393939396,1.0,5610,144.25524225480228,0.10876558639266333,5d
XS reversal 10d rank,0.11121746138636053,0.212597271346608,0.5231368242964752,0.006187635651925261,0.10723384343459773,-0.3764908794522478,0.4985739750445633,1.0,5610,111.01951148720268,0.12156340069457666,5d
XS reversal 21d rank,0.21448470718338775,0.21436656466165865,1.0005511238280818,0.017527798211249168,0.10858005277940888,-0.38551489466519795,0.4988411481547513,0.9998217468805705,5610,80.8056831930581,0.10724641634905538,5d
XS momentum 5d (control),0.0013633054242925063,0.21194298252183683,0.006432415964289087,-0.0055132764806865575,0.10648653026858731,-0.39069014713422734,0.5060606060606061,1.0,5610,144.25524225480228,-0.10876558639266333,5d
Spread reversion (8 pairs),1.030191878261506,0.2622143496498717,3.928815793785106,0.10021321869134159,0.09728147633256189,-0.22550448008227397,0.5074714903657098,0.9065953654188948,5610,43.823176085762164,0.05428836942809592,<=15d
NR7 breakout,0.6036628926559845,0.23044385595160824,2.6195660117002637,0.06409571430583005,0.11355873131006837,-0.174211481537087,0.5190348525469168,0.9973262032085561,5610,184.86194556089495,-0.062289115231569686,5d
NR7 breakout [adverse fills],0.12272177973325481,0.2127393859927092,0.576864406939017,0.007542329086279942,0.11423248025711684,-0.28179507755562516,0.5056300268096515,0.9973262032085561,5610,185.18314191967286,-0.04058321619833214,5d
"NR7 breakout [skip-ambig, BIASED]",1.107160309963655,0.2691676276137693,4.1132743925370105,0.13103013090212268,0.11746935430345008,-0.1527622244111072,0.5473589973142345,0.9955436720142602,5610,168.48909339271808,-0.06226226283256976,5d
"Donchian-20 break, 5d exit",0.1812252763495049,0.21367598694606868,0.8481312240071494,0.014031844854102804,0.11099317695549948,-0.456490388869651,0.5184323550465283,0.996078431372549,5610,148.42653194456068,-0.07204458230412346,5d
"Donchian-20 break, 20d exit",0.011306905742080327,0.21194965795297113,0.053347128989418714,-0.004337431712512552,0.10522811253479045,-0.4533864715712238,0.5064171122994653,1.0,5610,63.262644025113865,-0.07306394014067834,20d
Turn-of-month (index sleeve),0.19427398858729403,0.2139333446982235,0.908105227174094,0.013811658872058485,0.0929498499807181,-0.275828300316014,0.5308943089430894,0.2192513368983957,5610,27.670588235294115,0.23167843975870697,5d
Benchmark: ES buy & hold,0.5309150121549566,0.22638589398989908,2.345177090312195,0.08521125449917788,0.1870943068368024,-0.5677538894035719,0.5465804066543438,0.964349376114082,5610,0.0,1.0,hold
Benchmark: EW panel long,0.7670745680648529,0.2411125533263686,3.181396229612919,0.07768408708184582,0.10470138925488377,-0.34527340986931065,0.526916221033868,1.0,5610,0.0,0.29024528412832107,hold
